id,name,type,hp,atk,def,spd,spAtk,spDef,starter
43,Oddish,Grass/Poison,45,50,55,30,75,75,no
44,Gloom,Grass/Poison,60,65,70,40,85,85,no
45,Vileplume,Grass/Poison,75,80,85,50,100,100,no
46,Paras,Bug/Grass,35,70,55,25,55,55,no
47,Parasect,Bug/Grass,60,95,80,30,60,60,no
48,Venonat,Bug/Poison,60,55,50,45,40,40,no
49,Venomoth,Bug/Poison,70,65,60,90,75,75,no
50,Diglett,Ground,10,55,25,95,35,35,no
51,Dugtrio,Ground,35,80,50,120,70,70,no
52,Meowth,Normal,40,45,35,90,40,40,no
53,Persian,Normal,65,70,60,115,65,65,no
54,Psyduck,Water,50,52,48,55,65,65,no
55,Golduck,Water,80,82,78,85,95,95,no
56,Mankey,Fighting,40,80,35,70,35,35,no
57,Primeape,Fighting,65,105,60,95,60,60,no
58,Growlithe,Fire,55,70,45,60,70,70,no
59,Arcanine,Fire,90,110,80,100,80,80,no
60,Poliwag,Water,40,50,40,90,40,40,no
61,Poliwhirl,Water,65,65,65,90,50,50,no
62,Poliwrath,Water/Fighting,90,95,95,70,70,70,no
63,Abra,Psychic,25,20,15,90,105,105,no
64,Kadabra,Psychic,40,35,30,105,120,120,no
65,Alakazam,Psychic,55,50,45,120,135,135,no
66,Machop,Fighting,70,80,50,35,35,35,no
67,Machoke,Fighting,80,100,70,45,50,50,no
68,Machamp,Fighting,80,130,65,65,65,65,no
69,Bellsprout,Grass/Poison,50,75,35,40,70,70,no
70,Weepinbell,Grass/Poison,65,90,50,55,85,85,no
71,Victreebel,Grass/Poison,80,105,65,72,100,100,no
72,Tentacool,Water/Poison,40,40,35,70,100,100,no
73,Tentacruel,Water/Poison,80,70,65,100,120,120,no
74,Geodude,Rock/Ground,40,80,100,20,30,30,no
75,Graveler,Rock/Ground,55,95,115,35,45,45,no
76,Golem,Rock/Ground,80,120,130,45,55,55,no
77,Ponyta,Fire,50,85,55,90,65,65,no
78,Rapidash,Fire,65,100,70,105,80,80,no
79,Slowpoke,Water/Psychic,90,65,65,40,40,40,no
80,Slowbro,Water/Psychic,95,75,110,30,80,80,no
81,Seel,Water,65,45,55,45,70,70,no
82,Dewgong,Water/Ice,90,70,80,70,95,95,no
83,Shellder,Water,30,65,100,40,45,45,no
84,Cloyster,Water,50,95,180,70,85,85,no
85,Gastly,Ghost/Poison,30,35,30,80,100,100,no
86,Haunter,Ghost/Poison,45,50,45,95,115,115,no
87,Gengar,Ghost/Poison,65,65,60,130,130,130,no
88,Onix,Rock/Ground,35,45,160,30,30,30,no
89,Drowzee,Psychic,60,48,45,42,43,43,no
90,Hypno,Psychic,85,73,70,67,73,73,no
91,Krabby,Water,30,105,90,50,25,25,no
92,Kingler,Water,55,130,115,75,50,50,no
93,Voltorb,Electric,40,30,50,100,55,55,no
94,Electrode,Electric,60,50,70,140,80,80,no
95,Exeggcute,Grass/Psychic,60,40,80,40,60,60,no
96,Exeggutor,Grass/Psychic,95,95,85,55,125,125,no
97,Cubone,Ground,50,75,40,35,40,40,no
98,Marowak,Ground,60,80,100,45,50,50,no
99,Hitmonlee,Fighting,50,120,53,87,35,35,no
100,Hitmonchan,Fighting,50,105,79,76,35,35,no
101,Lickitung,Normal,90,55,75,30,60,60,no
102,Koffing,Poison,40,65,95,35,60,60,no
103,Weezing,Poison,65,90,120,60,85,85,no
104,Rhyhorn,Ground/Rock,80,85,95,32,30,30,no
105,Rhydon,Ground/Rock,105,130,120,40,45,45,no
106,Chansey,Normal,250,5,5,30,35,35,no
107,Tangela,Grass,65,55,115,60,100,100,no
108,Kangaskhan,Normal,105,95,80,90,40,40,no
109,Horsea,Water,30,40,70,60,70,70,no
110,Seadra,Water,55,65,95,85,95,95,no
111,Goldeen,Water,45,67,60,63,50,50,no
112,Seaking,Water,80,92,65,68,80,80,no
113,Staryu,Water,30,45,55,85,70,70,no
114,Starmie,Water/Psychic,60,75,85,115,100,100,no
115,Mr. Mime,Psychic,40,45,65,90,100,100,no
116,Scyther,Bug/Flying,70,110,80,105,55,55,no
117,Jynx,Ice/Psychic,65,50,35,95,95,95,no
118,Electabuzz,Electric,65,83,57,105,85,85,no
119,Magby,Fire,65,83,57,105,85,85,no
120,Magnemite,Electric/Steel,25,35,70,45,95,95,no
121,Magneton,Electric/Steel,50,60,95,70,120,120,no
122,Farfetch'd,Normal/Flying,52,90,55,58,58,58,no
123,Doduo,Normal/Flying,35,85,45,75,35,35,no
124,Dodrio,Normal/Flying,60,110,70,100,60,60,no
125,Seel,Water,65,45,55,45,70,70,no
126,Dewgong,Water/Ice,90,70,80,70,95,95,no
127,Shellder,Water,30,65,100,40,45,45,no
128,Cloyster,Water,50,95,180,70,85,85,no
129,Krabby,Water,30,105,90,50,25,25,no
130,Kingler,Water,55,130,115,75,50,50,no
131,Horsea,Water,30,40,70,60,70,70,no
132,Seadra,Water,55,65,95,85,95,95,no
133,Goldeen,Water,45,67,60,63,50,50,no
134,Seaking,Water,80,92,65,68,80,80,no
135,Staryu,Water,30,45,55,85,70,70,no
136,Starmie,Water/Psychic,60,75,85,115,100,100,no
137,Magikarp,Water,20,10,55,80,20,20,no
138,Gyarados,Water/Flying,95,125,79,81,100,100,no
139,Lapras,Water/Ice,130,85,80,60,95,95,no
140,Ditto,Normal,48,48,48,48,48,48,no
141,Eevee,Normal,55,55,50,55,65,65,no
142,Vaporeon,Water,130,65,60,65,110,110,no
143,Jolteon,Electric,65,65,60,130,110,110,no
144,Flareon,Fire,65,130,60,65,110,110,no
145,Porygon,Normal,65,60,70,40,75,75,no
146,Omanyte,Rock/Water,35,40,100,35,90,90,no
147,Omastar,Rock/Water,70,60,125,55,115,115,no
148,Kabuto,Rock/Water,30,80,90,55,45,45,no
149,Kabutops,Rock/Water,60,115,105,80,70,70,no
150,Aerodactyl,Rock/Flying,80,105,65,130,60,60,no
151,Snorlax,Normal,150,110,65,30,65,65,no
152,Articuno,Ice/Flying,90,85,100,85,95,95,no
153,Zapdos,Electric/Flying,90,90,85,100,125,125,no
154,Moltres,Fire/Flying,90,100,90,90,125,125,no
155,Dratini,Dragon,41,64,45,50,50,50,no
156,Dragonair,Dragon,61,84,65,70,70,70,no
157,Dragonite,Dragon/Flying,91,134,95,80,100,100,no
158,Mewtwo,Psychic,106,110,90,130,154,154,no
159,Mew,Psychic,100,100,100,100,100,100,no
159,Mew,Psychic,100,100,100,100,100,no
